Title,Video URL,Video Duration,Views Number,Date the video uploaded,Channel URL of the video,Thumbnail URL
"HEARTOPIA Is Almost Here! Everything You Need to Know Before Release 💗","https://www.youtube.com/watch?v=H3n0zoMf0RQ&pp=ygUJaGVhcnRvcGlh","12.18","3.6万次观看","7天前","https://www.youtube.com/@Fleurs_","https://yt3.ggpht.com/Q1DW8EgP5ILdzXf5fzp3WTMGjPo9SytUrYAHR7GqEPFsvYAs9caZ8_HfoZBdT43jqCBo5x1a=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Beginner’s Guide [30+ Tips I Wish I Knew Day One]","https://www.youtube.com/watch?v=Q7pHY-DePl8&pp=ygUJaGVhcnRvcGlh","27.56","4.2万次观看","3天前","https://www.youtube.com/@Serrohverse","https://yt3.ggpht.com/AAbVem_S59ZfyoJOulsPfx76Cpe2YHebMegbnY-tAt99SWFTTKc2sCq-rrneeung3VgENwLJ=s68-c-k-c0x00ffffff-no-rj"
"Is Heartopia Worth Your Time? | Play or Pass 🤔","https://www.youtube.com/watch?v=v5XQyiGSYw0&pp=ygUJaGVhcnRvcGlh0gcJCU0KAYcqIYzv","20.36","3.2万次观看","3天前","https://www.youtube.com/@LetzPlayK","https://yt3.ggpht.com/95wUhTCPsPJ5Ocj909q28ipmAFpdjoKmi-qY5mi5oeNTSdqvRajT36SlKAmskSS5YXhb-z53sZs=s68-c-k-c0x00ffffff-no-rj"
"👉 Heartopia | How to Adopt a Cat 🐱","https://www.youtube.com/watch?v=7BBZTWsN4mo&pp=ygUJaGVhcnRvcGlh","16.41","1661次观看","12小时前","https://www.youtube.com/@EroseSays","https://yt3.ggpht.com/ytc/AIdro_kZKiUxIqJ2STd_ltDB7Hl2nM8onnu7ddNi0peS8xMjWdc=s68-c-k-c0x00ffffff-no-rj"
"I'm OBSESSED with this game!!⭐Heartopia","https://www.youtube.com/watch?v=rT1ZtsSkiw0&pp=ygUJaGVhcnRvcGlh","9.35","3.7万次观看","1个月前","https://www.youtube.com/@froggycrossing","https://yt3.ggpht.com/ytc/AIdro_njvs0fhAC6tC_EqbhJc-HqzrDzxjDrCWFK71NOGu6ivL0=s68-c-k-c0x00ffffff-no-rj"
"🔴Heartopia is OUT! let's build an epic theme park!","https://www.youtube.com/watch?v=uoLNNQHP1Mg&pp=ygUJaGVhcnRvcGlh","2.02:29","1万次观看","直播时间：3天前","https://www.youtube.com/@froggycrossing","https://yt3.ggpht.com/ytc/AIdro_njvs0fhAC6tC_EqbhJc-HqzrDzxjDrCWFK71NOGu6ivL0=s68-c-k-c0x00ffffff-no-rj"
"✨Building My DREAM HOME in Heartopia!","https://www.youtube.com/watch?v=YdhsSM-jLPQ&pp=ygUJaGVhcnRvcGlh","15.55","4.2万次观看","4天前","https://www.youtube.com/@KatherineElizabeth_","https://yt3.ggpht.com/HrWiYVvpL8gxcElPJ6B6jIaWttZqykIJV2L6Kym0uFM2RlLR9My_3J_WvmD0E4qDuMc_eLEv5g=s68-c-k-c0x00ffffff-no-rj"
"MAKE MONEY FAST in Heartopia! How to earn CURRENCY! Guide","https://www.youtube.com/watch?v=CcWod7SS16E&pp=ygUJaGVhcnRvcGlh","9.23","2.1万次观看","1天前","https://www.youtube.com/@CozyCyber","https://yt3.ggpht.com/SGVvaP3f3P_IZqosvqGjl2lHI86NGfx_VBLQlx1I2HjKXI6xCzS85YfgDwRVJb2dcnPWt5m_7ck=s68-c-k-c0x00ffffff-no-rj"
"🔴first look at HEARTOPIA🧡the CUTEST new life sim game!","https://www.youtube.com/watch?v=giC-AMjapk8&pp=ygUJaGVhcnRvcGlh","2.10:19","2.1万次观看","直播时间：2个月前","https://www.youtube.com/@froggycrossing","https://yt3.ggpht.com/ytc/AIdro_njvs0fhAC6tC_EqbhJc-HqzrDzxjDrCWFK71NOGu6ivL0=s68-c-k-c0x00ffffff-no-rj"
"I made my boyfriend play HEARTOPIA","https://www.youtube.com/watch?v=zrUMYnM9OhY&pp=ygUJaGVhcnRvcGlh","9.13","25万次观看","3周前","https://www.youtube.com/@froggycrossing","https://yt3.ggpht.com/ytc/AIdro_njvs0fhAC6tC_EqbhJc-HqzrDzxjDrCWFK71NOGu6ivL0=s68-c-k-c0x00ffffff-no-rj"
"Is Heartopia the CUTEST Game Ever? 💕 First Look!","https://www.youtube.com/watch?v=x760tzTPuzE&pp=ygUJaGVhcnRvcGlh","24.54","4441次观看","1天前","https://www.youtube.com/@yammy","https://yt3.ggpht.com/dht6pg4dBvTDp6GVLQP-7nFAAIg_Ze9AtIYvRzBUehORXt1Z_Yj-SZUB3yFUOvheVAiD41xi1Q=s68-c-k-c0x00ffffff-no-rj"
"Heartopia COULD be the next BIG Cozy Game!! HONEST Thoughts So Far...","https://www.youtube.com/watch?v=p8AybpTEEAY&pp=ygUJaGVhcnRvcGlh","10.30","1.3万次观看","2个月前","https://www.youtube.com/@NintenTalk","https://yt3.ggpht.com/ucJeoe_F68_46BqLbPs2ygpRybvInUQvrSf7xMcBCpzQjHScRSHGqS_FnR2L_-mNzYMYRVBEJw=s68-c-k-c0x00ffffff-no-rj"
"WATCH THIS BEFORE YOU PLAY HEARTOPIA! Complete Guide for Full Release","https://www.youtube.com/watch?v=MnJWQfrlBgk&pp=ygUJaGVhcnRvcGlh","12.23","2.3万次观看","2周前","https://www.youtube.com/@CozyCyber","https://yt3.ggpht.com/SGVvaP3f3P_IZqosvqGjl2lHI86NGfx_VBLQlx1I2HjKXI6xCzS85YfgDwRVJb2dcnPWt5m_7ck=s68-c-k-c0x00ffffff-no-rj"
"My Last Day in Heartopia… I’m Not Ready to Say Goodbye 🥹✨","https://www.youtube.com/watch?v=H_MHc5HnWXU&pp=ygUJaGVhcnRvcGlh","22.09","37万次观看","2周前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"Playing Heartopia With MY VIEWERS! Cozy Multiplayer Life Sim","https://www.youtube.com/watch?v=c4b9lQFHBdM&pp=ygUJaGVhcnRvcGlh","38.12","4131次观看","2天前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"👉 Heartopia | Golden Bubble Locations 🫧 FREE School Outfit","https://www.youtube.com/watch?v=r8q8K09d9y8&pp=ygUJaGVhcnRvcGlh","8.13","3939次观看","2天前","https://www.youtube.com/@EroseSays","https://yt3.ggpht.com/ytc/AIdro_kZKiUxIqJ2STd_ltDB7Hl2nM8onnu7ddNi0peS8xMjWdc=s68-c-k-c0x00ffffff-no-rj"
"8 Tips to Earn Money in Heartopia","https://www.youtube.com/watch?v=x3dlr7R2IHk&pp=ygUJaGVhcnRvcGlh","4.15","1.3万次观看","2天前","https://www.youtube.com/@StMilk_yt","https://yt3.ggpht.com/Hg-LHFWy3hGutw3D8CU5mz9wKy589l5YIOQwlEm1MQberDylu4gxCfjV5MTWsau9afFHLYxDQ-k=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Gameplay Trailer | TGS 2025","https://www.youtube.com/watch?v=wq6h-VJUmOo&pp=ygUJaGVhcnRvcGlh","1.11","13万次观看","4个月前","https://www.youtube.com/@Heartopia-official","https://yt3.ggpht.com/3GBH23oPFmFLP0J1tW78KkKQSZfb2irw4IxjKC5YjPw6NUI_x81xbxLvvkhY53wBYtM9km1T=s68-c-k-c0x00ffffff-no-rj"
"🔴let's build and decorate in HEARTOPIA!","https://www.youtube.com/watch?v=hBIylNAriiE&pp=ygUJaGVhcnRvcGlh0gcJCU0KAYcqIYzv","2.03:29","1万次观看","直播时间：3周前","https://www.youtube.com/@froggycrossing","https://yt3.ggpht.com/ytc/AIdro_njvs0fhAC6tC_EqbhJc-HqzrDzxjDrCWFK71NOGu6ivL0=s68-c-k-c0x00ffffff-no-rj"
"NEW Features In Heartopia's FINAL BETA! Cozy Life Sim","https://www.youtube.com/watch?v=Uh5Lvq3u-bU&pp=ygUJaGVhcnRvcGlh","26.49","5.9万次观看","1个月前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Early Game House Tour! | 🏠💖Cozy Housing Overview & Guide + Free vs Premium","https://www.youtube.com/watch?v=vpeZV5Aof-k&pp=ygUJaGVhcnRvcGlh","18.36","2003次观看","16小时前","https://www.youtube.com/@BarbsCorner","https://yt3.ggpht.com/RP7yZJJddqPJ_hMbZok5NAWISxELyl_-1Hq3PN-h3KEyqDSVOUh9x1wyhpS_0HoYJNXE_DjzPQ=s68-c-k-c0x00ffffff-no-rj"
"Heartopia officially launches on Jan 7!","https://www.youtube.com/watch?v=MyYPETdg4Oc&pp=ygUJaGVhcnRvcGlh","2.04","251万次观看","3周前","https://www.youtube.com/@Heartopia-official","https://yt3.ggpht.com/3GBH23oPFmFLP0J1tW78KkKQSZfb2irw4IxjKC5YjPw6NUI_x81xbxLvvkhY53wBYtM9km1T=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Gameplay - Global Version Android iOS","https://www.youtube.com/watch?v=l_Nzn5PiwYw&pp=ygUJaGVhcnRvcGlh","20.48","8041次观看","1个月前","https://www.youtube.com/@adeptless","https://yt3.ggpht.com/Tp5f5NcGHKfWng97D0osOECVKwE5I4c2y72gFjt0HSXqZmale04TlgeRpNNEaJdIzy3ywJjP8yI=s68-c-k-c0x00ffffff-no-rj"
"Heartopia's Build Mode Is The Most SATISFYING Experience Ever!","https://www.youtube.com/watch?v=QcW4egqM7UY&pp=ygUJaGVhcnRvcGlh","40.19","1万次观看","1个月前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Gameplay Walkthrough Part 1 (Android, iOS)","https://www.youtube.com/watch?v=4bubXU3NBGA&pp=ygUJaGVhcnRvcGlh","21.19","2.6万次观看","2个月前","https://www.youtube.com/@Techzamazing","https://yt3.ggpht.com/ytc/AIdro_kgvcG5qmOpgHl6s9OMOTZ-1nK8L7vpjl355fr9RfsirR8=s68-c-k-c0x00ffffff-no-rj"
