Title,Video URL,Video Duration,Views Number,Date the video uploaded
"Lanzaron 'Minecraft' de SUEÑOS LIMINALES 👉 Lucid Blocks","https://www.youtube.com/watch?v=BEPD_vrHyUU&pp=ygUMTHVjaWQgQmxvY2tz","26.14","9.8万次观看","6小时前"
"lucid blocks | available now","https://www.youtube.com/watch?v=7C7fybRM_No&pp=ygUMTHVjaWQgQmxvY2tz","0.57","3.5万次观看","1天前"
"gel from heaven","https://www.youtube.com/watch?v=Jwz8eCRHA0U&pp=ygUMTHVjaWQgQmxvY2tz","5.49","9702次观看","4天前"
"ПУГОД БУДЕТ ИГРАТЬ В ЖУТКУЮ ПАРОДИЮ НА МАЙНКРАФТ? | РЕЛИЗ НОВОЙ ИГРЫ","https://www.youtube.com/watch?v=AA5a1jPrp-E&pp=ygUMTHVjaWQgQmxvY2tz0gcJCcUKAYcqIYzv","3.20","5802次观看","5天前"
"how deep is lucid blocks?","https://www.youtube.com/watch?v=ozuSKZP3rgg&pp=ygUMTHVjaWQgQmxvY2tz","9.02","3941次观看","2天前"
"A World With No Explanation | Lucid Blocks","https://www.youtube.com/watch?v=LjXxiTuXSXQ&pp=ygUMTHVjaWQgQmxvY2tz0gcJCcUKAYcqIYzv","25.07","2639次观看","21小时前"
"playing lucid blocks on my redstone box (live)","https://www.youtube.com/watch?v=DfIP0znCW5Y&pp=ygUMTHVjaWQgQmxvY2tz","4.38:26","1937次观看","直播时间：6天前"
"playing lucid blocks again, come say hi (second livestream)","https://www.youtube.com/watch?v=rR3FgW0Z7mg&pp=ygUMTHVjaWQgQmxvY2tz","4.17:31","1283次观看","直播时间：4天前"
"Майнкрафт, но под грибным сдвигом [Lucid Blocks]","https://www.youtube.com/watch?v=Q6UNgD8HwiE&pp=ygUMTHVjaWQgQmxvY2tz0gcJCcUKAYcqIYzv","3.26:49","1026次观看","直播时间：16小时前"
"кажется, я скачал не тот майнкрафт (мне страшно)","https://www.youtube.com/watch?v=DrE-oTfpJ8s&pp=ygUMTHVjaWQgQmxvY2tz","11.58","475次观看","1天前"
"#shorts Lucid Blocks เกมใหม่น่าเล่น","https://www.youtube.com/watch?v=qyqZgLqbLHU&pp=ygUMTHVjaWQgQmxvY2tz","5.45:57","333次观看","直播时间：13小时前"
"Streaming Lucid blocks!","https://www.youtube.com/watch?v=pwZwYlWFo3k&pp=ygUMTHVjaWQgQmxvY2tz","9.54:55","266次观看","直播时间：12小时前"
"Lucid Blocks | Awesome New Surreal Ethereal Liminal Minecraft Game","https://www.youtube.com/watch?v=GdPOwVbhU90&pp=ygUMTHVjaWQgQmxvY2tz","43.37","278次观看","11小时前"
"Lucid Blocks  - Fishing for Bubblebears","https://www.youtube.com/watch?v=WRnbXBX_UQs&pp=ygUMTHVjaWQgQmxvY2tz","2.22","162次观看","5天前"
